model,seed,fold,auroc,auprc,balanced_accuracy,brier,ece
random_forest,11,1,0.6089776855215361,0.595307425906223,0.6071613907628438,0.24212240909090907,0.11425000000000002
random_forest,11,2,0.7083549558899844,0.685366004249535,0.6543850544888428,0.2221365909090909,0.08188636363636363
random_forest,11,3,0.6081992734820966,0.5392964387652351,0.5568240788790867,0.24406959090909092,0.053886363636363635
random_forest,11,4,0.6712619300106044,0.6229086633623969,0.6325556733828208,0.23140767816091953,0.0955632183908046
random_forest,11,5,0.787645811240721,0.7718396085203926,0.7057264050901378,0.2108239540229885,0.13735632183908045
random_forest,23,1,0.6245459263103269,0.6195891209233897,0.6071613907628438,0.23823990909090914,0.11836363636363634
random_forest,23,2,0.7153606642449403,0.6984826632932697,0.6772184743124027,0.22053531818181818,0.09711363636363636
random_forest,23,3,0.594706798131811,0.5231459981323158,0.5521536066424494,0.2461953636363636,0.10381818181818184
random_forest,23,4,0.6420996818663838,0.5814672360241189,0.5946447507953341,0.23762827586206897,0.058321839080459764
random_forest,23,5,0.7619300106044539,0.7548490760021025,0.6813361611876989,0.2153019770114943,0.13540229885057478
random_forest,37,1,0.6141670991177997,0.5915931389619385,0.5980799169693825,0.23941086363636366,0.0918409090909091
random_forest,37,2,0.7241826673585885,0.6827756936760789,0.6681370005189413,0.22037477272727274,0.09702272727272725
random_forest,37,3,0.6022314478463934,0.5493538502067266,0.6009340944473275,0.24338800000000002,0.14027272727272722
random_forest,37,4,0.6505832449628846,0.6173015020075509,0.6081654294803818,0.23465296551724144,0.10013793103448274
random_forest,37,5,0.7664369034994697,0.7509937212284903,0.6460763520678685,0.21369958620689652,0.16344827586206895
