model,seed,fold,auroc,auprc,balanced_accuracy,brier,ece
unconstrained_mlp,11,1,0.5895173845355475,0.6129034224062936,0.5646081992734822,0.378494808632009,0.37781205433716636
unconstrained_mlp,11,2,0.7265179034769071,0.7283424889092261,0.611831862999481,0.31920360689744,0.3200294647842116
unconstrained_mlp,11,3,0.5474831344058121,0.5272082190021653,0.5461857810067463,0.40358936837630055,0.4198816763107992
unconstrained_mlp,11,4,0.6580063626723224,0.5769148554329566,0.6065747613997879,0.3518801467875029,0.3749638762660402
unconstrained_mlp,11,5,0.7380699893955461,0.7189724006166254,0.6839872746553552,0.2698746598630456,0.2619346750234215
unconstrained_mlp,23,1,0.6357031655422938,0.6488871625485224,0.6271406331084588,0.3561296365649844,0.3619543188816723
unconstrained_mlp,23,2,0.7114686040477425,0.7229521492588755,0.6359626362221069,0.3183971621912108,0.33104525093612563
unconstrained_mlp,23,3,0.5838090295796575,0.5149411814789817,0.5643487285936689,0.4037699159740399,0.41995236546643727
unconstrained_mlp,23,4,0.6394485683987274,0.5945428881476402,0.6283138918345705,0.33597633183074305,0.3453413094975827
unconstrained_mlp,23,5,0.7401908801696713,0.7042090712457121,0.6513785790031813,0.28399007365868717,0.3058645339253011
unconstrained_mlp,37,1,0.6681370005189413,0.6982368607619187,0.631811105345096,0.3364745283889268,0.32640534665186227
unconstrained_mlp,37,2,0.7317073170731707,0.708224899094624,0.6590555267254801,0.30275172023594316,0.3301680373908391
unconstrained_mlp,37,3,0.5539699014011417,0.5337328992908142,0.5417747794499221,0.41961280167157766,0.42329772134571086
unconstrained_mlp,37,4,0.6399787910922587,0.6369647212468807,0.5729056203605515,0.38318068711500314,0.37413876880923036
unconstrained_mlp,37,5,0.7417815482502651,0.7393533012968144,0.6757688229056203,0.2790850264948773,0.28793558061087454
