pathway_name,method,mean_rank,rank_variance,min_rank,max_rank,n_folds,is_rna_processing
REACTOME_SIGNALING_BY_ROBO_RECEPTORS,activation,92.4,3104.4000000000005,27,228,5,False
REACTOME_DISEASES_OF_METABOLISM,activation,93.2,1020.6,42,161,5,False
REACTOME_MUSCLE_CONTRACTION,activation,93.53333333333333,3770.4095238095247,21,287,5,False
REACTOME_SIGNALING_BY_WNT,activation,94.73333333333333,4055.92380952381,42,242,5,False
REACTOME_NEUROTRANSMITTER_RECEPTORS_AND_POSTSYNAPTIC_SIGNAL_TRANSMISSION,activation,94.93333333333334,1877.7809523809524,52,188,5,False
REACTOME_SENSORY_PERCEPTION,activation,95.4,2873.6857142857148,41,212,5,False
REACTOME_ORGANELLE_BIOGENESIS_AND_MAINTENANCE,activation,95.46666666666667,1843.5523809523813,35,171,5,False
REACTOME_NEDDYLATION,activation,99.66666666666667,6470.809523809525,15,345,5,False
REACTOME_SLC_MEDIATED_TRANSMEMBRANE_TRANSPORT,activation,99.93333333333334,1553.9238095238095,37,164,5,False
REACTOME_DISORDERS_OF_TRANSMEMBRANE_TRANSPORTERS,activation,100.4,2378.542857142857,24,173,5,False
REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION,activation,102.73333333333333,7105.066666666666,36,286,5,False
REACTOME_MRNA_SPLICING,activation,102.73333333333333,6747.780952380951,32,361,5,True
REACTOME_MITOTIC_METAPHASE_AND_ANAPHASE,activation,103.26666666666667,5020.209523809525,14,255,5,False
REACTOME_CILIUM_ASSEMBLY,activation,106.93333333333334,3478.9238095238097,35,220,5,False
REACTOME_MITOTIC_G2_G2_M_PHASES,activation,107.0,4820.857142857143,26,266,5,False
REACTOME_S_PHASE,activation,108.8,7532.6,32,313,5,False
REACTOME_BIOLOGICAL_OXIDATIONS,activation,108.86666666666666,8776.266666666665,22,423,5,False
REACTOME_TCF_DEPENDENT_SIGNALING_IN_RESPONSE_TO_WNT,activation,108.86666666666666,1845.8380952380953,31,177,5,False
REACTOME_TRANSCRIPTIONAL_REGULATION_BY_RUNX1,activation,110.66666666666667,1859.6666666666665,39,185,5,False
REACTOME_PEPTIDE_LIGAND_BINDING_RECEPTORS,activation,111.8,2024.0285714285712,46,197,5,False
REACTOME_G_ALPHA_Q_SIGNALLING_EVENTS,activation,112.2,6003.457142857143,7,285,5,False
REACTOME_METABOLISM_OF_VITAMINS_AND_COFACTORS,activation,112.33333333333333,8068.380952380954,29,312,5,False
REACTOME_INFLUENZA_INFECTION,activation,113.53333333333333,16615.12380952381,29,528,5,False
REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE,activation,116.6,10995.114285714284,24,410,5,False
REACTOME_APOPTOSIS,activation,116.73333333333333,2351.4952380952377,27,220,5,False
REACTOME_DEATH_RECEPTOR_SIGNALING,activation,117.6,5009.257142857144,26,236,5,False
REACTOME_HIV_LIFE_CYCLE,activation,120.0,5367.714285714285,27,261,5,False
REACTOME_SUMOYLATION,activation,120.2,5867.314285714287,35,309,5,False
REACTOME_SARS_COV_2_HOST_INTERACTIONS,activation,123.86666666666666,5516.1238095238095,42,311,5,False
REACTOME_TOLL_LIKE_RECEPTOR_CASCADES,activation,126.93333333333334,8129.638095238095,36,373,5,False
REACTOME_MITOTIC_PROMETAPHASE,activation,127.13333333333334,4927.1238095238095,49,273,5,False
REACTOME_LEISHMANIA_INFECTION,activation,128.46666666666667,2638.123809523809,76,247,5,False
REACTOME_CHROMATIN_MODIFYING_ENZYMES,activation,128.53333333333333,6758.695238095237,46,311,5,False
REACTOME_MYD88_INDEPENDENT_TLR4_CASCADE,activation,128.93333333333334,12426.066666666666,27,400,5,False
REACTOME_G_ALPHA_S_SIGNALLING_EVENTS,activation,129.33333333333334,11094.095238095237,32,414,5,False
REACTOME_PHOSPHOLIPID_METABOLISM,activation,130.33333333333334,4105.095238095239,51,271,5,False
REACTOME_EUKARYOTIC_TRANSLATION_INITIATION,activation,130.4,11424.971428571429,32,432,5,False
REACTOME_RRNA_PROCESSING,activation,130.86666666666667,6793.980952380952,24,267,5,False
REACTOME_SEPARATION_OF_SISTER_CHROMATIDS,activation,134.26666666666668,5045.780952380953,39,238,5,False
REACTOME_PROTEIN_LOCALIZATION,activation,135.4,5527.971428571429,34,266,5,False
REACTOME_ESR_MEDIATED_SIGNALING,activation,135.53333333333333,7289.980952380953,36,330,5,False
REACTOME_METABOLISM_OF_STEROIDS,activation,137.33333333333334,3848.809523809524,36,276,5,False
REACTOME_RAC1_GTPASE_CYCLE,activation,138.46666666666667,4072.123809523809,44,248,5,False
REACTOME_CELLULAR_SENESCENCE,activation,139.13333333333333,6896.409523809524,34,291,5,False
REACTOME_RHOA_GTPASE_CYCLE,activation,140.26666666666668,5581.495238095238,38,301,5,False
REACTOME_ION_CHANNEL_TRANSPORT,activation,141.53333333333333,7867.980952380953,39,411,5,False
REACTOME_KEAP1_NFE2L2_PATHWAY,activation,141.73333333333332,3531.9238095238084,61,319,5,False
REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL,activation,141.8,23048.885714285712,52,668,5,False
REACTOME_RESPIRATORY_ELECTRON_TRANSPORT,activation,144.6,10128.828571428572,51,451,5,False
REACTOME_SIGNALING_BY_TGFB_FAMILY_MEMBERS,activation,145.0,4454.285714285715,71,256,5,False
REACTOME_INTRA_GOLGI_AND_RETROGRADE_GOLGI_TO_ER_TRAFFIC,activation,148.0,10006.714285714286,8,415,5,False
REACTOME_MITOCHONDRIAL_PROTEIN_DEGRADATION,activation,148.26666666666668,9842.352380952381,39,372,5,False
REACTOME_SIGNALING_BY_NTRKS,activation,148.8,3370.8857142857146,64,279,5,False
REACTOME_BETA_CATENIN_INDEPENDENT_WNT_SIGNALING,activation,150.0,8337.857142857143,28,311,5,False
REACTOME_INTERLEUKIN_1_FAMILY_SIGNALING,activation,152.2,6002.885714285713,43,281,5,False
REACTOME_RESPONSE_TO_ELEVATED_PLATELET_CYTOSOLIC_CA2,activation,153.8,4943.314285714286,29,265,5,False
REACTOME_FATTY_ACID_METABOLISM,activation,153.86666666666667,4695.552380952381,73,326,5,False
REACTOME_PTEN_REGULATION,activation,153.93333333333334,6522.638095238095,41,353,5,False
REACTOME_ER_TO_GOLGI_ANTEROGRADE_TRANSPORT,activation,156.13333333333333,6067.980952380952,90,350,5,False
REACTOME_ANTIVIRAL_MECHANISM_BY_IFN_STIMULATED_GENES,activation,156.8,7039.885714285713,57,348,5,False
REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL,activation,157.4,8911.685714285715,41,391,5,False
REACTOME_REGULATION_OF_EXPRESSION_OF_SLITS_AND_ROBOS,activation,157.4,28421.399999999994,21,574,5,False
REACTOME_L1CAM_INTERACTIONS,activation,157.93333333333334,10128.20952380952,40,395,5,False
REACTOME_RHO_GTPASES_ACTIVATE_FORMINS,activation,161.06666666666666,8785.209523809524,34,294,5,False
REACTOME_REGULATION_OF_TP53_ACTIVITY,activation,161.93333333333334,8189.066666666665,92,471,5,False
REACTOME_MITF_M_REGULATED_MELANOCYTE_DEVELOPMENT,activation,162.73333333333332,8004.780952380953,57,330,5,False
REACTOME_SIGNALING_BY_NOTCH,activation,162.8,12859.457142857145,30,471,5,False
REACTOME_HOST_INTERACTIONS_OF_HIV_FACTORS,activation,164.06666666666666,11521.066666666666,21,408,5,False
REACTOME_GOLGI_TO_ER_RETROGRADE_TRANSPORT,activation,165.26666666666668,8471.352380952381,49,360,5,False
REACTOME_REGULATION_OF_INSULIN_LIKE_GROWTH_FACTOR_IGF_TRANSPORT_AND_UPTAKE_BY_INSULIN_LIKE_GROWTH_FACTOR_BINDING_PROTEINS_IGFBPS,activation,167.0,14888.42857142857,74,538,5,False
REACTOME_AUTOPHAGY,activation,168.2,13991.171428571428,28,509,5,False
REACTOME_CDC42_GTPASE_CYCLE,activation,168.26666666666668,4057.9238095238084,88,298,5,False
REACTOME_MITOTIC_G1_PHASE_AND_G1_S_TRANSITION,activation,168.4,11729.114285714284,38,382,5,False
REACTOME_CLEC7A_DECTIN_1_SIGNALING,activation,170.06666666666666,8767.066666666664,45,323,5,False
REACTOME_TCR_SIGNALING,activation,170.4,2913.828571428571,48,239,5,False
REACTOME_INTERLEUKIN_4_AND_INTERLEUKIN_13_SIGNALING,activation,174.2,4280.314285714286,85,319,5,False
REACTOME_UB_SPECIFIC_PROCESSING_PROTEASES,activation,176.66666666666666,24282.38095238095,31,667,5,False
REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY,activation,181.73333333333332,33561.78095238095,28,598,5,False
REACTOME_DRUG_ADME,activation,181.93333333333334,3666.780952380953,65,311,5,False
REACTOME_G2_M_CHECKPOINTS,activation,183.06666666666666,32723.06666666667,29,728,5,False
REACTOME_SYNTHESIS_OF_DNA,activation,183.13333333333333,29697.55238095238,31,701,5,False
REACTOME_TRANSPORT_TO_THE_GOLGI_AND_SUBSEQUENT_MODIFICATION,activation,183.2,12522.028571428571,32,470,5,False
REACTOME_RECRUITMENT_OF_NUMA_TO_MITOTIC_CENTROSOMES,activation,184.26666666666668,5602.066666666667,94,327,5,False
REACTOME_CLATHRIN_MEDIATED_ENDOCYTOSIS,activation,186.6,4170.542857142857,67,301,5,False
REACTOME_FC_EPSILON_RECEPTOR_FCERI_SIGNALING,activation,186.8,5869.4571428571435,69,363,5,False
REACTOME_C_TYPE_LECTIN_RECEPTORS_CLRS,activation,188.46666666666667,30132.838095238094,54,608,5,False
REACTOME_HOMOLOGY_DIRECTED_REPAIR,activation,189.4,27039.11428571428,48,599,5,False
REACTOME_SARS_COV_2_ACTIVATES_MODULATES_INNATE_AND_ADAPTIVE_IMMUNE_RESPONSES,activation,190.0,17286.14285714286,30,463,5,False
REACTOME_ADIPOGENESIS,activation,191.26666666666668,9055.209523809523,75,366,5,False
