model,seed,fold,auroc,auprc,balanced_accuracy,brier,ece
logistic_regression,11,1,0.6455630513751945,0.6969471244715592,0.5814737934613389,0.33094456570408787,0.3220634759953894
logistic_regression,11,2,0.7498702646600933,0.7561633275739843,0.6515308770108977,0.24574028367102488,0.22618436572396816
logistic_regression,11,3,0.6113129216398546,0.585057924771234,0.5752464971458225,0.32984598133768905,0.3070444465279183
logistic_regression,11,4,0.724814422057264,0.7052661331061306,0.6431601272534464,0.2655275202200592,0.2636218906883968
logistic_regression,11,5,0.7126193001060446,0.6670550237435682,0.6269883351007424,0.26052202943021785,0.24667637489859817
logistic_regression,23,1,0.6455630513751945,0.6969471244715592,0.5814737934613389,0.33094456570408787,0.3220634759953894
logistic_regression,23,2,0.7498702646600933,0.7561633275739843,0.6515308770108977,0.24574028367102488,0.22618436572396816
logistic_regression,23,3,0.6113129216398546,0.585057924771234,0.5752464971458225,0.32984598133768905,0.3070444465279183
logistic_regression,23,4,0.724814422057264,0.7052661331061306,0.6431601272534464,0.2655275202200592,0.2636218906883968
logistic_regression,23,5,0.7126193001060446,0.6670550237435682,0.6269883351007424,0.26052202943021785,0.24667637489859817
logistic_regression,37,1,0.6455630513751945,0.6969471244715592,0.5814737934613389,0.33094456570408787,0.3220634759953894
logistic_regression,37,2,0.7498702646600933,0.7561633275739843,0.6515308770108977,0.24574028367102488,0.22618436572396816
logistic_regression,37,3,0.6113129216398546,0.585057924771234,0.5752464971458225,0.32984598133768905,0.3070444465279183
logistic_regression,37,4,0.724814422057264,0.7052661331061306,0.6431601272534464,0.2655275202200592,0.2636218906883968
logistic_regression,37,5,0.7126193001060446,0.6670550237435682,0.6269883351007424,0.26052202943021785,0.24667637489859817
