model,n_seeds,n_oof_rows,auroc_mean,auroc_ci_lower,auroc_ci_upper,auprc_mean,auprc_ci_lower,auprc_ci_upper,balanced_accuracy_mean,balanced_accuracy_ci_lower,balanced_accuracy_ci_upper,brier_mean,brier_ci_lower,brier_ci_upper,ece_mean,ece_ci_lower,ece_ci_upper
logistic_regression,3,1314,0.6870721239401233,0.6588970887562953,0.7163178524489107,0.678433353986304,0.6485760108020197,0.7085693096690104,0.615450643776824,0.5881984716842876,0.6430031578212777,0.28662334228835773,0.2663388950435277,0.30504038068385314,0.2489032677456696,0.22549452448887697,0.2763046681622224
random_forest,3,1314,0.6644544471195785,0.6364892354932132,0.6920091710573758,0.6134876580175117,0.5819331517960139,0.6471018859689192,0.6257789874036079,0.6008849750514672,0.6508246973027669,0.23069662404870625,0.225341599391172,0.23600430220700153,0.05009284627092844,0.03157705479452054,0.07562648401826486
unconstrained_mlp,3,1314,0.6506821591821068,0.6208038487037232,0.6794804424439095,0.6259566828456935,0.5916932482995544,0.6589419273707657,0.6132663386719704,0.5878040929550926,0.6396482780278446,0.34294378603218556,0.32021341095518163,0.36536012436302984,0.3331696678357533,0.30487057907852483,0.354299805213427
